Name,Team,Starting season,Power_Index,FR,Events-FR,freshman PPE,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points,PPE
Alexandra Marlow,University of Pittsburgh,23,18.32,,,0,,,,,,,0,0
Jilian Schulte,University of Pittsburgh,23,25.18,,,0,,,,,,,0,0
Emma Wilson,University of Pittsburgh,23,17.10,,,0,,,,,,,0,0
Courtney Bartholomew,University of Virginia,16,1.84,,,0,84,4,91,4,96,4,271,22.583333333333332
Hanne Borgersen,University of Virginia,16,2.70,,,0,76,3,76,3,73,3,225,25.0
Shaun Casey,University of Virginia,15,2.74,,,0,,,73,3,41,3,114,19.0
Meredith Cavalier,University of Virginia,14,2.95,,,0,,,,,31,3,31,10.333333333333334
Charlotte Clarke,University of Virginia,15,1.78,,,0,,,58,3,,,58,19.333333333333332
Rebecca Corbett,University of Virginia,16,100.00,,,0,,,29,3,52,3,81,13.5
Emily Dicus,University of Virginia,15,2.25,,,0,,,,,40,3,40,13.333333333333334
Haley Durmer,University of Virginia,16,10.21,,,0,72,3,38,3,66,3,176,19.555555555555557
Riley Flanagan,University of Virginia,15,5.84,,,0,,,,,,,0,0
Morgan Flynn,University of Virginia,14,5.32,,,0,,,,,,,0,0
Laura Gartrell,University of Virginia,15,100.00,,,0,,,,,,,0,0
Audrey Gould,University of Virginia,17,11.91,,,0,,,,,,,0,0
Alison Haulsee,University of Virginia,15,1.51,,,0,,,70,3,58,3,128,21.333333333333332
Samantha James,University of Virginia,16,2.73,,,0,,,,,,,0,0
Kaitlyn Jones,University of Virginia,17,1.00,73,3,24.333333333333332,81,4,91,3,88,3,333,25.615384615384617
Caroline Kenney,University of Virginia,15,2.58,,,0,,,78,3,,,78,26.0
Hope Kerpelman,University of Virginia,15,-1,,,0,,,,,,,0,0
Emily Lloyd,University of Virginia,15,1.69,,,0,,,57,3,,,57,19.0
Kelly Lloyd,University of Virginia,15,-1,,,0,,,,,,,0,0
Natalie Martin,University of Virginia,16,3.85,,,0,42,3,20,3,25,3,87,9.666666666666666
Erin McElfresh,University of Virginia,17,4.31,,,0,,,,,,,0,0
Rachel Moore,University of Virginia,16,1.48,,,0,,,,,,,0,0
Jane Munro,University of Virginia,15,5.35,,,0,,,,,,,0,0
Rachel Naurath,University of Virginia,15,1.00,,,0,,,,,,,0,0
Dana Nessler,University of Virginia,15,4.43,,,0,,,,,,,0,0
Kelly Offutt,University of Virginia,15,4.31,,,0,,,57,3,42,3,99,16.5
Hillary Petersen,University of Virginia,15,3.24,,,0,,,,,,,0,0
Shannon Rauth,University of Virginia,17,2.28,44,3,14.666666666666666,27,3,52,3,33,3,156,13.0
Kaleigh Rosenburg,University of Virginia,17,5.87,,,0,,,,,,,0,0
Laura Simon,University of Virginia,17,1.89,63,3,21.0,67,3,65,3,60,3,255,21.25
Madeline Smart,University of Virginia,17,3.76,,,0,,,,,,,0,0
Leah Smith,University of Virginia,17,1.39,92,3,30.666666666666668,96,3,92,3,92,3,372,31.0
Carlin Tettelbach,University of Virginia,15,100.00,,,0,,,,,,,0,0
Carlin Tettlebach,University of Virginia,14,-1,,,0,,,,,,,0,0
Ellen Thomas,University of Virginia,17,2.64,42,3,14.0,60,3,71,3,53,3,226,18.833333333333332
Katherine Warburg,University of Virginia,16,100.00,,,0,21,3,,,21,3,42,7.0
Ellen Williamson,University of Virginia,15,4.55,,,0,,,82,3,73,3,155,25.833333333333332
Holland Cathey,University of Virginia,15,-1,,,0,,,,,,,0,0
Caitlin Cooper,University of Virginia,18,1.81,31,3,10.333333333333334,34,3,49,3,65,3,179,14.916666666666666
Jessie Gvozdas,University of Virginia,18,2.19,,,0,,,,,,,0,0
Corey Johnson,University of Virginia,18,100.00,,,0,,,0,3,27,3,27,4.5
Brodde Lamb,University of Virginia,15,11.91,,,0,,,,,,,0,0
Helen Lamb,University of Virginia,15,14.42,,,0,,,,,,,0,0
Emily Langworthy,University of Virginia,15,100.00,,,0,,,,,,,0,0
Jennifer Marrkand,University of Virginia,18,2.06,70,3,23.333333333333332,72,3,79,4,80,3,301,23.153846153846153
Salem Peacock,University of Virginia,15,14.40,,,0,,,,,,,0,0
Laine Reed,University of Virginia,18,2.71,,,0,,,18,3,71,3,89,14.833333333333334
Dina Rommel,University of Virginia,18,3.36,,,0,,,,,23,3,23,7.666666666666667
Cecilia Williams,University of Virginia,18,1.26,47,3,15.666666666666666,44,3,49,3,53,3,193,16.083333333333332
Peyton Baldwin,University of Virginia,19,10.55,,,0,,,,,,,0,0
Julia Durmer,University of Virginia,19,9.02,,,0,,,,,,,0,0
Eryn Eddy,University of Virginia,19,4.53,44,3,14.666666666666666,40,3,57,3,53,3,194,16.166666666666668
Megan Moroney,University of Virginia,16,3.25,,,0,,,,,77,3,77,25.666666666666668
Kirsten Parkinson,University of Virginia,19,-1,,,0,9,3,,,,,9,3.0
Rachel Politi,University of Virginia,19,18.76,,,0,50,3,27,3,,,77,12.833333333333334
Kasey Schmidt,University of Virginia,19,7.09,,,0,,,,,,,0,0
Sara Stranick,University of Virginia,19,9.17,,,0,13,3,,,,,13,4.333333333333333
Vivian Tafuto,University of Virginia,19,5.15,39,3,13.0,64,3,42,3,34,3,179,14.916666666666666
Kylie Towbin,University of Virginia,19,-1,17,3,5.666666666666667,71,3,48,3,54,3,190,15.833333333333334
Anna Dickinson,University of Virginia,19,25.78,,,0,,,,,,,0,0
Sydney Dusel,University of Virginia,20,100.00,31,3,10.333333333333334,50,3,61,3,70,3,212,17.666666666666668
Morgan Hill,University of Virginia,20,4.00,26,3,8.666666666666666,68,3,92,4,88,3,274,21.076923076923077
Bailey Mills,University of Virginia,20,100.00,,,0,,,,,,,0,0
Mary Pelton,University of Virginia,19,3.76,,,0,,,,,,,0,0
Mary Tansill,University of Virginia,20,11.75,33,3,11.0,,,28,3,,,61,10.166666666666666
Madeleine Vonderhaar,University of Virginia,20,4.54,17,3,5.666666666666667,,,,,,,17,5.666666666666667
Erin Earley,University of Virginia,21,2.10,59,3,19.666666666666668,,,51,3,,,110,18.333333333333332
Caroline Gmelich,University of Virginia,21,6.93,,,0,48,4,63,4,,,111,13.875
Paige Madden,University of Virginia,21,2.14,77,3,25.666666666666668,82,3,96,3,,,255,28.333333333333332
Marcella Maguire,University of Virginia,21,3.35,29,3,9.666666666666666,37,3,36,3,,,102,11.333333333333334
Anna Pang,University of Virginia,21,100.00,54,3,18.0,44,3,,,,,98,16.333333333333332
Jocelyn Porter,University of Virginia,21,100.00,,,0,,,,,,,0,0
Abigail Richter,University of Virginia,21,2.36,74,4,18.5,67,3,81,3,,,222,22.2
Emma Seiberlich,University of Virginia,21,3.92,43,3,14.333333333333334,60,3,58,3,,,161,17.88888888888889
Kyla Valls,University of Virginia,21,5.17,34,3,11.333333333333334,41,3,47,3,,,122,13.555555555555555
Carter Bristow,University of Virginia,22,9.70,,,0,,,,,,,0,0
Emma Bulger,University of Virginia,22,100.00,,,0,,,,,,,0,0
Mary Christensen,University of Virginia,22,2.65,39,3,13.0,,,,,,,39,13.0
Julia Eskew,University of Virginia,22,12.87,,,0,,,,,,,0,0
Julia Menkhaus,University of Virginia,22,2.49,53,3,17.666666666666668,32,3,,,,,85,14.166666666666666
Jessica Nava,University of Virginia,22,5.13,44,3,14.666666666666666,50,3,,,,,94,15.666666666666666
Sophie Skinner,University of Virginia,22,5.16,,,0,,,,,,,0,0
Alexis Wenger,University of Virginia,22,6.74,44,3,14.666666666666666,56,3,,,,,100,16.666666666666668
Jennifer Bell,University of Virginia,23,100.00,,,0,,,,,,,0,0
Charlotte Bowen,University of Virginia,23,100.00,,,0,,,,,,,0,0
Ella Collins,University of Virginia,23,7.81,,,0,,,,,,,0,0
Kaitlyn Cronin,University of Virginia,23,11.98,,,0,,,,,,,0,0
Alexa Cuomo,University of Virginia,23,4.17,68,3,22.666666666666668,,,,,,,68,22.666666666666668
Madelyn Donohoe,University of Virginia,23,1.77,54,3,18.0,,,,,,,54,18.0
Katherine Douglass,University of Virginia,23,1.00,91,5,18.2,,,,,,,91,18.2
Caroline Kulp,University of Virginia,23,5.78,,,0,,,,,,,0,0
Margaret Nelson,University of Virginia,23,4.33,82,3,27.333333333333332,,,,,,,82,27.333333333333332
Kalyea Arnett,Virginia Tech,15,100.00,,,0,,,91,3,91,3,182,30.333333333333332
England Barimo,Virginia Tech,15,-1,,,0,,,,,,,0,0
Katherine Bean,Virginia Tech,15,100.00,,,0,,,,,,,0,0
Gabrielle Bishop,Virginia Tech,16,4.79,,,0,18,3,20,3,4,3,42,4.666666666666667
Brittany Boone,Virginia Tech,15,8.93,,,0,,,,,,,0,0
Ashley Buchter,Virginia Tech,17,100.00,51,3,17.0,58,3,,,12,3,121,13.444444444444445
Lauren Buckworth,Virginia Tech,16,13.90,,,0,,,,,,,0,0
Caroline Buscaglia,Virginia Tech,17,4.34,,,0,,,,,,,0,0
Natalie Cronk,Virginia Tech,16,12.90,,,0,,,,,,,0,0
Auriane de Premilhat,Virginia Tech,17,-1,,,0,,,6,3,1,3,7,1.1666666666666667
Fiona Donnelly,Virginia Tech,17,2.64,53,3,17.666666666666668,60,4,55,3,68,3,236,18.153846153846153
Aubree Duncan,Virginia Tech,14,8.88,,,0,,,,,,,0,0
Matty Ferguson,Virginia Tech,14,12.92,,,0,,,,,,,0,0
Katarina Filova,Virginia Tech,14,-1,,,0,,,,,40,3,40,13.333333333333334
Katie Gillespie,Virginia Tech,16,8.39,,,0,,,,,,,0,0
Margaret Gruber,Virginia Tech,14,6.24,,,0,,,,,40,3,40,13.333333333333334
Holland Harper,Virginia Tech,16,5.34,,,0,60,3,52,3,28,3,140,15.555555555555555
Jessica Hespeler,Virginia Tech,17,6.33,24,2,12.0,66,3,68,3,81,3,239,21.727272727272727
Caroline Higgins,Virginia Tech,15,23.95,,,0,,,,,,,0,0
Jayme Katis,Virginia Tech,15,12.90,,,0,,,,,,,0,0
Blaire Kinsey,Virginia Tech,15,12.40,,,0,,,29,3,27,3,56,9.333333333333334
Natalie Leake,Virginia Tech,15,21.42,,,0,,,,,,,0,0
Weronika Paluszek,Virginia Tech,16,2.45,,,0,54,3,51,3,54,3,159,17.666666666666668
Margaret Parcell,Virginia Tech,15,10.93,,,0,,,14,3,,,14,4.666666666666667
Leah Piemonte,Virginia Tech,17,100.00,,,0,,,2,3,0,3,2,0.3333333333333333
Katie Rogers,Virginia Tech,15,6.35,,,0,,,,,,,0,0
Natalee Roseberry,Virginia Tech,16,8.38,,,0,,,,,,,0,0
Emily Ryczek,Virginia Tech,15,6.40,,,0,,,,,,,0,0
Laura Schwartz,Virginia Tech,17,10.88,18,3,6.0,35,3,19,3,33,3,105,8.75
Rachel Sepanski,Virginia Tech,15,12.40,,,0,,,27,3,,,27,9.0
Mackenzie Stewart,Virginia Tech,16,10.41,,,0,37,3,51,3,34,3,122,13.555555555555555
Kelli Stockton,Virginia Tech,15,100.00,,,0,,,63,3,66,3,129,21.5
Alyssa Bodin,Virginia Tech,16,5.41,,,0,,,23,3,,,23,7.666666666666667
Alice Boutant,Virginia Tech,17,5.83,,,0,,,8,3,,,8,2.6666666666666665
Adriana Grabski,Virginia Tech,18,1.42,15,3,5.0,9,3,14,3,25,2,63,5.7272727272727275
Kelly Henry,Virginia Tech,18,16.57,,,0,,,20,3,,,20,6.666666666666667
Klaudia Nazieblo,Virginia Tech,18,20.47,79,4,19.75,81,5,79,4,65,4,304,17.88235294117647
Savannah Padgett,Virginia Tech,18,100.00,,,0,,,,,,,0,0
Madalyn Ulrich,Virginia Tech,18,7.42,,,0,,,4,3,,,4,1.3333333333333333
Emma Villareal,Virginia Tech,15,-1,,,0,,,,,28,3,28,9.333333333333334
Logan Williams,Virginia Tech,18,14.43,,,0,,,,,,,0,0
Jessica Arnold,Virginia Tech,19,16.22,15,4,3.75,,,,,,,15,3.75
Danielle Griggs,Virginia Tech,19,17.32,,,0,0,3,12,3,0,3,12,1.3333333333333333
Abigail Jones,Virginia Tech,19,16.10,,,0,,,,,,,0,0
Sydney Pesetti,Virginia Tech,19,8.42,2,3,0.6666666666666666,0,3,,,,,2,0.3333333333333333
Ashlynn Peters,Virginia Tech,19,100.00,32,3,10.666666666666666,68,3,77,3,35,3,212,17.666666666666668
Leah Rogers,Virginia Tech,19,10.49,,,0,5,3,16,3,3,3,24,2.6666666666666665
Madison Rylee,Virginia Tech,17,100.00,,,0,,,,,,,0,0
Abigail Stone,Virginia Tech,19,11.60,,,0,,,,,,,0,0
Jenna Beattie,Virginia Tech,20,16.28,12,3,4.0,11,3,5,3,6,3,34,2.8333333333333335
Baillie Cameron,Virginia Tech,20,19.03,,,0,,,,,,,0,0
Caroline DeJager,Virginia Tech,20,29.22,,,0,,,,,,,0,0
Miranda Eberle,Virginia Tech,20,100.00,6,3,2.0,22,3,,,,,28,4.666666666666667
Reka Gyorgy,Virginia Tech,20,7.62,78,3,26.0,54,4,63,3,,,195,19.5
Chloe Hicks,Virginia Tech,20,12.74,33,3,11.0,30,3,,,,,63,10.5
Sydney Kirsch,Virginia Tech,20,21.35,,,0,,,,,,,0,0
Grace Kowal,Virginia Tech,20,15.99,15,3,5.0,32,3,,,,,47,7.833333333333333
Eleanor Matheson,Virginia Tech,20,8.59,0,3,0.0,29,3,2,3,,,31,3.4444444444444446
Kayla Purcell,Virginia Tech,20,19.34,,,0,,,7,3,12,3,19,3.1666666666666665
Margarita Ryan,Virginia Tech,20,21.01,,,0,,,2,3,5,3,7,1.1666666666666667
Erin Scott,Virginia Tech,20,21.74,,,0,,,,,11,2,11,5.5
HANNAH WILDING,Virginia Tech,20,33.48,,,0,,,,,,,0,0
Abigail Andrusin,Virginia Tech,21,15.00,,,0,6,3,,,,,6,2.0
Jessica Beattie,Virginia Tech,20,31.57,,,0,,,,,,,0,0
Emily Meilus,Virginia Tech,21,6.28,11,3,3.6666666666666665,9,4,18,2,,,38,4.222222222222222
Nicole Pape,Virginia Tech,21,14.01,,,0,,,,,,,0,0
Molly Sheffield,Virginia Tech,21,8.31,,,0,1,3,,,,,1,0.3333333333333333
Heather Sigmon,Virginia Tech,21,9.12,,,0,,,,,,,0,0
Joelle Vereb,Virginia Tech,21,7.70,27,3,9.0,66,4,58,3,,,151,15.1
Regan Westwood,Virginia Tech,21,100.00,,,0,,,5,3,,,5,1.6666666666666667
Maya Atkins,Virginia Tech,22,14.33,,,0,,,,,,,0,0
Julia Bruneau,Virginia Tech,22,14.72,0,3,0.0,,,,,,,0,0.0
Jennifer Hauser,Virginia Tech,22,21.28,,,0,,,,,,,0,0
Annalee Johnson,Virginia Tech,20,16.78,,,0,,,,,,,0,0
Anna Landon,Virginia Tech,22,13.61,2,3,0.6666666666666666,4,3,,,,,6,1.0
Abby Larson,Virginia Tech,22,6.51,0,3,0.0,,,,,,,0,0.0
Brooke Leftwich,Virginia Tech,22,100.00,15,3,5.0,,,,,,,15,5.0
Teagan Moravek,Virginia Tech,22,100.00,16,3,5.333333333333333,44,3,,,,,60,10.0
Isabel Mroz,Virginia Tech,22,100.00,,,0,6,3,,,,,6,2.0
Lara Siebrecht,Virginia Tech,20,-1,,,0,,,,,,,0,0
Alexandra Slayton,Virginia Tech,22,16.86,,,0,,,,,,,0,0
Loulou Vos,Virginia Tech,22,2.59,31,3,10.333333333333334,32,3,,,,,63,10.5
Mary Burt,Virginia Tech,23,21.07,,,0,,,,,,,0,0
Grace Cutrell,Virginia Tech,23,20.71,,,0,,,,,,,0,0
Caroline De Jager,Virginia Tech,20,-1,,,0,,,,,,,0,0
Karisa Franz,Virginia Tech,23,11.87,,,0,,,,,,,0,0
Hannah Jirsa,Virginia Tech,23,29.84,,,0,,,,,,,0,0
Abigal Larson,Virginia Tech,22,-1,,,0,13,3,,,,,13,4.333333333333333
Lauren Meeker,Virginia Tech,22,13.90,,,0,,,,,,,0,0
Morgan Miller,Virginia Tech,23,9.69,14,3,4.666666666666667,,,,,,,14,4.666666666666667
Rose Pouch,Virginia Tech,23,11.49,,,0,,,,,,,0,0
Erin Quinn,Virginia Tech,23,12.24,,,0,,,,,,,0,0
Shelby Raber,Virginia Tech,23,13.92,,,0,,,,,,,0,0
Sophia Ryan,Virginia Tech,23,19.15,,,0,,,,,,,0,0
Sarah Shackelford,Virginia Tech,23,12.57,18,3,6.0,,,,,,,18,6.0
Julia Smith,Virginia Tech,23,13.93,1,3,0.3333333333333333,,,,,,,1,0.3333333333333333
Jenna Thompson,Virginia Tech,23,13.40,7,3,2.3333333333333335,,,,,,,7,2.3333333333333335
Brooke Travis,Virginia Tech,22,4.13,,,0,35,3,,,,,35,11.666666666666666
Rainey Vause,Virginia Tech,23,100.00,,,0,,,,,,,0,0
Ashley Worden,Virginia Tech,23,15.78,,,0,,,,,,,0,0
Andrea Acquista,University of Louisville,17,100.00,,,0,31,3,71,3,44,3,146,16.22222222222222
Erica Belcher,University of Louisville,15,4.24,,,0,,,,,53,3,53,17.666666666666668
Devon Bibault,University of Louisville,16,3.86,,,0,,,30,3,13,3,43,7.166666666666667
Kristina Brandenburg,University of Louisville,15,3.31,,,0,,,,,,,0,0
Mackenzie Buss,University of Louisville,17,4.82,,,0,6,3,6,3,,,12,2.0
Abigail Chin,University of Louisville,15,4.28,,,0,,,,,52,3,52,17.333333333333332
Emma Coakley,University of Louisville,16,18.93,,,0,,,,,,,0,0
Andrea Cottrell,University of Louisville,17,7.39,,,0,69,3,84,3,82,3,235,26.11111111111111
Johanna Cowley,University of Louisville,15,13.77,,,0,,,,,,,0,0
Kelsi Dahlia,University of Louisville,16,6.23,,,0,,,92,3,96,3,188,31.333333333333332
Nicole Glazer,University of Louisville,14,-1,,,0,,,,,,,0,0
Abigail Houck,University of Louisville,17,4.28,,,0,30,3,59,3,43,3,132,14.666666666666666
Madaline Ingmire,University of Louisville,16,100.00,,,0,,,,,35,3,35,11.666666666666666
Andrea Kneppers,University of Louisville,16,1.29,,,0,,,67,3,41,3,108,18.0
Gisselle Kohoyda,University of Louisville,15,-1,,,0,,,,,,,0,0
Lucy Kramer,University of Louisville,16,7.39,,,0,,,6,3,6,3,12,2.0
Tanja Kylliainen,University of Louisville,15,1.81,,,0,,,,,96,5,96,19.2
Lindsey Laporte,University of Louisville,15,2.80,,,0,,,,,,,0,0
Rachael Lewis,University of Louisville,15,8.94,,,0,,,,,,,0,0
Breann McDowell,University of Louisville,15,7.87,,,0,,,,,,,0,0
Mary Mittel,University of Louisville,15,2.78,,,0,,,,,,,0,0
Carly Munchel,University of Louisville,15,13.90,,,0,,,,,,,0,0
Alessandra Murphy,University of Louisville,17,100.00,,,0,,,,,,,0,0
Emily O'Neill,University of Louisville,15,-1,,,0,,,,,,,0,0
Brittany Robinson,University of Louisville,16,2.35,,,0,,,,,,,0,0
Alexandra Sellers,University of Louisville,17,2.77,,,0,0,3,16,3,12,3,28,3.111111111111111
Emily Stalmack,University of Louisville,15,100.00,,,0,,,,,19,3,19,6.333333333333333
Kristina Steins,University of Louisville,17,100.00,,,0,7,3,,,,,7,2.3333333333333335
Paige Ezell,University of Louisville,18,-1,,,0,,,,,,,0,0
Rachel Grooms,University of Louisville,18,3.25,12,3,4.0,,,,,,,12,4.0
Lauren Herich,University of Louisville,18,7.87,,,0,,,,,,,0,0
Lauren James,University of Louisville,18,3.27,,,0,16,3,25,3,13,3,54,6.0
Ashley LeClair,University of Louisville,18,5.83,17,3,5.666666666666667,42,3,,,,,59,9.833333333333334
Hannah Magnuson,University of Louisville,18,3.24,13,3,4.333333333333333,11,2,8,3,,,32,4.0
Alli Murphy,University of Louisville,15,-1,,,0,,,,,,,0,0
Margaret Patterson,University of Louisville,18,6.33,7,3,2.3333333333333335,,,,,,,7,2.3333333333333335
Marah Pugh,University of Louisville,18,4.28,41,3,13.666666666666666,37,3,1,1,,,79,11.285714285714286
Luana Ribeiro,University of Louisville,15,-1,,,0,,,,,,,0,0
Emily Sarratt,University of Louisville,18,6.39,,,0,,,,,,,0,0
Caitlin Ahern,University of Louisville,19,19.97,,,0,,,,,,,0,0
Clara Baggett,University of Louisville,19,13.01,,,0,,,,,,,0,0
Rachael Bradford-Feldman,University of Louisville,19,9.56,77,3,25.666666666666668,73,4,82,3,,,232,23.2
Mallory Comerford,University of Louisville,19,4.12,88,4,22.0,92,3,96,3,96,3,372,28.615384615384617
Alina Kendzior,University of Louisville,19,-1,62,4,15.5,71,4,63,4,59,4,255,15.9375
Grace Long,University of Louisville,19,8.26,,,0,,,,,,,0,0
Emily Moser,University of Louisville,19,11.88,13,3,4.333333333333333,33,3,,,,,46,7.666666666666667
Manuela Sampaio,University of Louisville,19,11.21,6,3,2.0,,,,,,,6,2.0
Avery Braunecker,University of Louisville,20,7.80,,,0,26,3,33,3,,,59,9.833333333333334
Sophie Cattermole,University of Louisville,19,2.22,,,0,17,3,71,3,47,3,135,15.0
Casey Fanz,University of Louisville,20,5.13,51,3,17.0,49,3,33,3,53,3,186,15.5
Molly Fears,University of Louisville,20,100.00,22,3,7.333333333333333,59,3,61,3,71,3,213,17.75
Nastja Govejek,University of Louisville,20,2.39,,,0,,,,,,,0,0
Silvia Guerra,University of Louisville,20,-1,38,3,12.666666666666666,,,,,,,38,12.666666666666666
Margaret Jahns,University of Louisville,20,14.14,,,0,7,3,,,,,7,2.3333333333333335
Emily LeClair,University of Louisville,20,19.27,,,0,,,,,,,0,0
Grace Oglesby,University of Louisville,20,1.85,58,3,19.333333333333332,87,3,87,3,71,3,303,25.25
Brianna Price,University of Louisville,20,100.00,,,0,,,,,,,0,0
Michaela Sliney,University of Louisville,20,100.00,,,0,6,3,55,3,,,61,10.166666666666666
Sofie Underdahl,University of Louisville,20,11.75,21,3,7.0,,,,,,,21,7.0
Jillian Visscher,University of Louisville,20,6.05,33,3,11.0,61,3,49,3,38,3,181,15.083333333333334
Hannah Whiteley,University of Louisville,20,6.02,,,0,,,,,,,0,0
Mariia ASTASHKINA,University of Louisville,21,1.95,68,3,22.666666666666668,49,3,62,3,,,179,19.88888888888889
Morgan Friesen,University of Louisville,21,3.91,49,3,16.333333333333332,49,3,47,3,,,145,16.11111111111111
Rachel Howard,University of Louisville,21,13.53,,,0,,,,,,,0,0
Alina JUNGKLAUS,University of Louisville,21,20.80,,,0,,,,,,,0,0
Carley Lowe,University of Louisville,21,3.88,28,3,9.333333333333334,,,22,3,,,50,8.333333333333334
Arina OPENYSHEVA,University of Louisville,21,2.71,18,3,6.0,45,3,75,3,,,138,15.333333333333334
Ashlyn Schoof,University of Louisville,21,1.83,26,3,8.666666666666666,,,,,,,26,8.666666666666666
Diana Dunn,University of Louisville,22,5.72,,,0,23,3,,,,,23,7.666666666666667
Anika Holland,University of Louisville,22,-1,,,0,,,,,,,0,0
Alena Kraus,University of Louisville,22,4.46,47,3,15.666666666666666,64,3,,,,,111,18.5
Elizabeth Lambert,University of Louisville,22,100.00,,,0,,,,,,,0,0
Sophia Middendorf,University of Louisville,22,100.00,,,0,,,,,,,0,0
Allyson Schafer,University of Louisville,22,100.00,,,0,,,,,,,0,0
Kaitlyn Schorr,University of Louisville,22,5.16,,,0,,,,,,,0,0
Annette Schultz,University of Louisville,22,9.59,,,0,,,,,,,0,0
Maria Sumida,University of Louisville,22,4.14,48,3,16.0,40,3,,,,,88,14.666666666666666
Kelly Tichenor,University of Louisville,22,14.41,,,0,,,,,,,0,0
Kaylee Wheeler,University of Louisville,22,6.90,31,3,10.333333333333334,31,3,,,,,62,10.333333333333334
Kyla Alexander,University of Louisville,23,13.05,,,0,,,,,,,0,0
Abigail Andrews,University of Louisville,23,37.90,14,3,4.666666666666667,,,,,,,14,4.666666666666667
Elizabeth Dodd,University of Louisville,23,100.00,,,0,,,,,,,0,0
Abbie Erickson,University of Louisville,23,100.00,,,0,,,,,,,0,0
Abigail Hay,University of Louisville,23,6.99,62,3,20.666666666666668,,,,,,,62,20.666666666666668
Madison Luther,University of Louisville,23,12.07,22,3,7.333333333333333,,,,,,,22,7.333333333333333
Christiana Regenauer,University of Louisville,23,5.09,50,3,16.666666666666668,,,,,,,50,16.666666666666668
