Name,Team,Starting season,Power_Index,FR,Events-FR,freshman_PPE,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points,PPE
William Close,"University of North Carolina, Chapel Hill",15,9.43,,,0,,,,,,,0,0
Robert Douglas,"University of North Carolina, Chapel Hill",15,5.94,,,0,,,,,,,0,0
Corey John,"University of North Carolina, Chapel Hill",15,3.3,,,0,,,,,,,0,0
Luke Lechner,"University of North Carolina, Chapel Hill",18,3.3,,,0,,,,,,,0,0
Michael McBryan,"University of North Carolina, Chapel Hill",18,1.84,,,0,36,3,39,3,52,3,127,14.11111111
Weston Miller,"University of North Carolina, Chapel Hill",15,5.86,,,0,,,,,,,0,0
Philip Perdue,"University of North Carolina, Chapel Hill",18,2.64,6,3,2,2,3,0,3,0,3,8,0.666666667
Dalton Shaw,"University of North Carolina, Chapel Hill",18,3.71,,,0,14,3,,,,,14,4.666666667
Thomas Bilden,"University of North Carolina, Chapel Hill",19,9.82,,,0,,,,,,,0,0
Noah Cairns,"University of North Carolina, Chapel Hill",19,12.29,10,3,3.333333333,7,3,2,4,,,19,1.9
Patrick Cusick,"University of North Carolina, Chapel Hill",19,14.93,14,3,4.666666667,18,3,1,3,5,3,38,3.166666667
William Harrison,"University of North Carolina, Chapel Hill",19,4.46,12,3,4,,,,,,,12,4
William Martin,"University of North Carolina, Chapel Hill",19,15.88,,,0,,,,,,,0,0
Zuhayr Pigot,"University of North Carolina, Chapel Hill",19,14.69,,,0,,,,,,,0,0
Austin Sellers,"University of North Carolina, Chapel Hill",19,14.43,,,0,6,3,2,3,2,3,10,1.111111111
John Welker,"University of North Carolina, Chapel Hill",19,26.7,,,0,,,,,,,0,0
Bryan Allen,"University of North Carolina, Chapel Hill",20,100,23,3,7.666666667,24,3,34,3,29,3,110,9.166666667
Devin Bellamy,"University of North Carolina, Chapel Hill",20,100,11,3,3.666666667,,,,,,,11,3.666666667
Gregory Brocato,"University of North Carolina, Chapel Hill",20,1.2,3,3,1,0,3,0,3,3,3,6,0.5
John Cobb,"University of North Carolina, Chapel Hill",20,6.41,7,3,2.333333333,5,3,,,,,12,2
Craig Emslie,"University of North Carolina, Chapel Hill",18,-1,,,0,,,51,4,,,51,12.75
Brendan Feehery,"University of North Carolina, Chapel Hill",20,2.3,,,0,6,3,,,,,6,2
Andrew Heise,"University of North Carolina, Chapel Hill",20,9.56,,,0,,,,,0,3,0,0
Max Jenkins,"University of North Carolina, Chapel Hill",20,100,,,0,,,,,,,0,0
Jorden Merrilees,"University of North Carolina, Chapel Hill",17,5.32,,,0,,,,,76,4,76,19
Michael Meyer,"University of North Carolina, Chapel Hill",17,42.08,,,0,,,,,72,3,72,24
Andrew Owsiany,"University of North Carolina, Chapel Hill",20,100,4,3,1.333333333,,,12,3,9,3,25,2.777777778
Graham Weaver,"University of North Carolina, Chapel Hill",20,6.65,,,0,,,,,,,0,0
Valdas Abaliksta,"University of North Carolina, Chapel Hill",21,12.76,35,3,11.66666667,35,3,51,3,,,121,13.44444444
James Courtney,"University of North Carolina, Chapel Hill",21,10.45,,,0,,,,,,,0,0
Dimitrios Dimitriou,"University of North Carolina, Chapel Hill",21,4.34,26,3,8.666666667,0,3,39,3,,,65,7.222222222
Gregory Duncan,"University of North Carolina, Chapel Hill",21,100,64,3,21.33333333,,,,,,,64,21.33333333
Alvin Jiang,"University of North Carolina, Chapel Hill",21,2.09,32,3,10.66666667,29,4,,,,,61,8.714285714
Daniel Koenigsperger,"University of North Carolina, Chapel Hill",21,17.62,,,0,0,3,0,3,,,0,0
Nicholas Loomis,"University of North Carolina, Chapel Hill",19,8.93,,,0,,,1,3,2,3,3,0.5
Coleman Manchester,"University of North Carolina, Chapel Hill",21,11.59,,,0,,,,,,,0,0
William Messenger,"University of North Carolina, Chapel Hill",21,5.9,0,3,0,0,3,35,3,,,35,3.888888889
Nicholas Palmer,"University of North Carolina, Chapel Hill",21,10.32,,,0,,,0,3,,,0,0
Hans Schroeder,"University of North Carolina, Chapel Hill",21,5.2,0,3,0,,,,,,,0,0
Christopher Thames,"University of North Carolina, Chapel Hill",21,4.01,16,3,5.333333333,15,3,32,3,,,63,7
Thomas Bretzmann,"University of North Carolina, Chapel Hill",22,3.44,4,3,1.333333333,0,3,,,,,4,0.666666667
Tucker Burhans,"University of North Carolina, Chapel Hill",22,7.91,0,3,0,7,4,,,,,7,1
Eli Coan,"University of North Carolina, Chapel Hill",21,11.48,,,0,13,3,0,3,,,13,2.166666667
Andrew Owslany,"University of North Carolina, Chapel Hill",19,-1,,,0,,,,,,,0,0
Jacob Rauch,"University of North Carolina, Chapel Hill",22,7.56,7,3,2.333333333,36,3,,,,,43,7.166666667
Sterling Smith,"University of North Carolina, Chapel Hill",22,4.7,22,3,7.333333333,,,,,,,22,7.333333333
Tomas Sungalia,"University of North Carolina, Chapel Hill",22,5.16,0,3,0,29,3,,,,,29,4.833333333
Luka Tomic,"University of North Carolina, Chapel Hill",20,32.32,,,0,,,,,0,4,0,0
Leo Collins,"University of North Carolina, Chapel Hill",23,12.07,,,0,,,,,,,0,0
Alexander Hart,"University of North Carolina, Chapel Hill",23,56.44,48,2,24,,,,,,,48,24
Adam Kerr,"University of North Carolina, Chapel Hill",23,11.51,,,0,,,,,,,0,0
Donovan Lahmann,"University of North Carolina, Chapel Hill",23,13.79,,,0,,,,,,,0,0
Alex Mayes,"University of North Carolina, Chapel Hill",23,100,,,0,,,,,,,0,0
Alexander Mays,"University of North Carolina, Chapel Hill",23,16.46,8,4,2,,,,,,,8,2
Samson Mumber,"University of North Carolina, Chapel Hill",23,26.62,,,0,,,,,,,0,0
Andrew Rafalko,"University of North Carolina, Chapel Hill",23,20.82,,,0,,,,,,,0,0
Fabian Stepinski,"University of North Carolina, Chapel Hill",23,100,38,3,12.66666667,,,,,,,38,12.66666667
Santos Villalon,"University of North Carolina, Chapel Hill",23,12.57,,,0,,,,,,,0,0
Thomas Anderson,University of Notre Dame,17,1.08,48,3,16,52,3,19,3,17,3,136,11.33333333
Bogac Ayhan,University of Notre Dame,16,6.41,,,0,21,4,30,4,24,4,75,6.25
Colin Babcock,University of Notre Dame,15,9.92,,,0,,,48,3,,,48,16
Kevin Bradley,University of Notre Dame,17,4.74,7,3,2.333333333,23,3,28,3,49,3,107,8.916666667
MATTHEW BUERGER,University of Notre Dame,16,2.22,,,0,31,3,,,,,31,10.33333333
Joshua Choi,University of Notre Dame,15,6.85,,,0,,,,,,,0,0
Jack Cobain,University of Notre Dame,14,7.39,,,0,,,,,,,0,0
Joseph Coumos,University of Notre Dame,17,100,27,3,9,33,3,,,61,3,121,13.44444444
Joseph Cuomos,University of Notre Dame,14,-1,,,0,,,,,,,0,0
Matthew DeBlasio,University of Notre Dame,15,3.15,,,0,,,1,3,12,3,13,2.166666667
Frank Dyer,University of Notre Dame,15,2.22,,,0,,,79,3,,,79,26.33333333
Reed Fujan,University of Notre Dame,17,5.3,,,0,13,3,27,3,40,3,80,8.888888889
Michael Hudspith,University of Notre Dame,16,12.26,,,0,,,,,1,3,1,0.333333333
Kevin Hughes,University of Notre Dame,15,3.3,,,0,,,59,3,,,59,19.66666667
Trent Jackson,University of Notre Dame,17,5.38,15,3,5,27,3,51,3,68,3,161,13.41666667
Brennan Jacobsen,University of Notre Dame,15,2.65,,,0,,,21,3,,,21,7
Andrew Jensen,University of Notre Dame,16,16.21,,,0,,,0,3,3,3,3,0.5
Broderick Kelley,University of Notre Dame,15,9.4,,,0,,,,,,,0,0
Michael Kreft,University of Notre Dame,15,100,,,0,,,29,3,14,3,43,7.166666667
James Lichtenstein,University of Notre Dame,17,100,,,0,24,3,15,3,28,3,67,7.444444444
James McEldrew,University of Notre Dame,15,5.84,,,0,,,,,,,0,0
Shane McKenzie,University of Notre Dame,16,10.88,,,0,,,,,8,3,8,2.666666667
Cameron Miller,University of Notre Dame,15,2.31,,,0,,,38,3,31,3,69,11.5
Patrick Murphy,University of Notre Dame,15,9.89,,,0,,,,,,,0,0
John Nappi,University of Notre Dame,15,2.71,,,0,,,43,3,31,3,74,12.33333333
Bertie Nel,University of Notre Dame,15,-1,,,0,,,9,3,,,9,3
Nicholas Nemetz,University of Notre Dame,15,100,,,0,,,13,3,16,3,29,4.833333333
Patrick Olson,University of Notre Dame,15,5.32,,,0,,,6,3,8,3,14,2.333333333
Joseph Petrone,University of Notre Dame,17,4.26,,,0,0,3,3,3,,,3,0.5
Michael Scheid,University of Notre Dame,16,8.4,,,0,,,,,,,0,0
Jin Sim,University of Notre Dame,14,100,,,0,,,,,,,0,0
Zachary Stephens,University of Notre Dame,15,2.78,,,0,,,92,3,43,3,135,22.5
Theodore Wagner,University of Notre Dame,15,100,,,0,,,9,3,,,9,3
Jonathan Williamson,University of Notre Dame,15,4.24,,,0,,,55,3,32,3,87,14.5
Harlin Bessire,University of Notre Dame,18,4.86,,,0,,,,,,,0,0
Lichtenstein Coumos,University of Notre Dame,15,-1,,,0,,,,,,,0,0
Benjamin Jany,University of Notre Dame,18,6.34,12,3,4,,,27,3,,,39,6.5
Joseph Krause,University of Notre Dame,15,2.74,,,0,,,,,,,0,0
Nemetz Kreft,University of Notre Dame,15,-1,,,0,,,,,,,0,0
Richard Mannix,University of Notre Dame,18,2.76,,,0,18,3,50,3,42,3,110,12.22222222
Peter Myers,University of Notre Dame,18,100,,,0,,,,,22,3,22,7.333333333
Gabriel Ostler,University of Notre Dame,15,3.32,,,0,,,,,,,0,0
Justin Plaschka,University of Notre Dame,18,1.23,23,3,7.666666667,73,3,74,3,44,3,214,17.83333333
Michael Schiffer,University of Notre Dame,15,4.86,,,0,,,,,,,0,0
Myers Wagner,University of Notre Dame,15,-1,,,0,,,,,,,0,0
Robert Whitacre,University of Notre Dame,18,3.88,23,3,7.666666667,39,3,61,4,77,4,200,14.28571429
Tabahn Afrik,University of Notre Dame,19,9.48,15,2,7.5,54,3,24,3,11,3,104,9.454545455
Billy Barth,University of Notre Dame,19,13.6,,,0,,,,,,,0,0
Connor Brown,University of Notre Dame,19,11.38,12,3,4,1,3,,,,,13,2.166666667
Daniel Fujan,University of Notre Dame,19,26.61,,,0,,,,,,,0,0
Benjamin Gorski,University of Notre Dame,19,15.77,,,0,,,18,3,,,18,6
Matthew Grauslys,University of Notre Dame,19,10.39,48,3,16,25,3,21,3,26,3,120,10
Maciej Olszewski,University of Notre Dame,19,5.88,,,0,,,,,,,0,0
Zane Parker,University of Notre Dame,16,-1,,,0,,,,,9,2,9,4.5
Jack Russell,University of Notre Dame,19,23.32,,,0,,,,,0,3,0,0
Steven Shek,University of Notre Dame,19,16.88,1,3,0.333333333,,,30,3,24,3,55,6.111111111
Daniel Speers,University of Notre Dame,19,13.53,33,2,16.5,48,2,43,3,,,124,17.71428571
David Stewart,University of Notre Dame,19,23.35,,,0,,,,,,,0,0
Zachary Stump,University of Notre Dame,19,21.42,,,0,,,,,,,0,0
Cristian Herrera,University of Notre Dame,20,100,,,0,,,,,,,0,0
Soren Holm,University of Notre Dame,17,100,,,0,,,,,0,3,0,0
Nicholas Milikich,University of Notre Dame,20,7.05,4,3,1.333333333,10,3,2,3,18,3,34,2.833333333
Jack Montesi,University of Notre Dame,20,-1,30,3,10,45,3,43,4,44,4,162,11.57142857
Rex Riley,University of Notre Dame,20,6.74,,,0,,,2,2,18,3,20,4
Aaron Schultz,University of Notre Dame,20,1.24,15,3,5,61,3,45,3,42,4,163,12.53846154
Aidan Sweeney,University of Notre Dame,17,7.35,,,0,,,,,,,0,0
Joseph Turk,University of Notre Dame,20,4.67,4,3,1.333333333,17,3,14,3,,,35,3.888888889
Luke Barrett,University of Notre Dame,21,18.24,,,0,,,,,,,0,0
John Becker,University of Notre Dame,21,11.86,,,0,,,,,,,0,0
Garrett Clarke,University of Notre Dame,18,14.08,,,0,,,,,29,3,29,9.666666667
Will Cumberland,University of Notre Dame,21,-1,6,3,2,34,3,40,3,,,80,8.888888889
Sadler McKeen,University of Notre Dame,21,3.81,31,3,10.33333333,27,3,57,3,,,115,12.77777778
Justin Roy,University of Notre Dame,21,10.42,,,0,,,,,,,0,0
Brendan Santana,University of Notre Dame,21,2.29,31,4,7.75,,,,,,,31,7.75
Christopher Smith,University of Notre Dame,21,1.34,,,0,,,,,,,0,0
David Waszak,University of Notre Dame,21,100,12,3,4,,,,,,,12,4
Zachary Yeadon,University of Notre Dame,21,1.24,56,3,18.66666667,50,3,80,3,,,186,20.66666667
Daniel Bannon,University of Notre Dame,22,13,,,0,,,,,,,0,0
Márton Barta,University of Notre Dame,22,1.39,,,0,,,,,,,0,0
Joshua Bottelberghe,University of Notre Dame,22,1.81,43,3,14.33333333,51,3,,,,,94,15.66666667
Austin Flaute,University of Notre Dame,22,100,30,3,10,15,3,,,,,45,7.5
Matthew Limbacher,University of Notre Dame,22,8.02,14,3,4.666666667,16,3,,,,,30,5
Maxwell Miranda,University of Notre Dame,22,3.1,18,3,6,42,3,,,,,60,10
David Petrison,University of Notre Dame,22,100,9,3,3,11,3,,,,,20,3.333333333
Zachary Smith,University of Notre Dame,22,1.87,30,3,10,5,3,,,,,35,5.833333333
Matthew Somerville,University of Notre Dame,22,-1,,,0,,,,,,,0,0
Andrew Winton,University of Notre Dame,22,1.85,35,3,11.66666667,7,3,,,,,42,7
William Barao,University of Notre Dame,23,2.29,16,3,5.333333333,,,,,,,16,5.333333333
Nicholas Chase,University of Notre Dame,23,19.93,,,0,,,,,,,0,0
David DeBacker,University of Notre Dame,23,100,12,3,4,,,,,,,12,4
Alec DeLong,University of Notre Dame,23,9.59,,,0,,,,,,,0,0
John Fitzpatrick,University of Notre Dame,23,6.71,12,3,4,,,,,,,12,4
Jack Hoagland,University of Notre Dame,23,4.91,83,3,27.66666667,,,,,,,83,27.66666667
Liam Hutchinson,University of Notre Dame,23,6.43,,,0,,,,,,,0,0
Charles Korndorffer,University of Notre Dame,23,13.95,,,0,,,,,,,0,0
William Rains,University of Notre Dame,23,100,,,0,,,,,,,0,0
Michael Rosa,University of Notre Dame,23,16.73,,,0,,,,,,,0,0
Topher Stensby,University of Notre Dame,23,5.35,,,0,,,,,,,0,0
Luke Thornbrue,University of Notre Dame,23,1.72,,,0,,,,,,,0,0
Nicholas Torres,University of Notre Dame,23,8.5,,,0,,,,,,,0,0
Cason Wilburn,University of Notre Dame,23,2.2,0,3,0,,,,,,,0,0
Kourosh Ahani,University of Pittsburgh,15,3.41,,,0,,,12,3,17,3,29,4.833333333
Harris Bergman,University of Pittsburgh,15,100,,,0,,,24,3,2,3,26,4.333333333
Haden Calegan,University of Pittsburgh,17,4.8,,,0,0,4,7,3,11,3,18,1.8
Alexander Cook,University of Pittsburgh,16,10.92,,,0,0,3,,,0,3,0,0
Mark Cooney,University of Pittsburgh,16,17.43,,,0,,,,,,,0,0
Anthony Galante,University of Pittsburgh,17,-1,23,3,7.666666667,20,3,21,3,,,64,7.111111111
Spencer Gray,University of Pittsburgh,17,11.42,,,0,0,2,0,3,0,3,0,0
Ryan Hausler,University of Pittsburgh,14,8.4,,,0,,,,,,,0,0
Sean Heiden,University of Pittsburgh,16,5.42,,,0,8,3,0,3,,,8,1.333333333
Gabriel Larson,University of Pittsburgh,17,2.4,2,3,0.666666667,5,4,1,3,26,3,34,2.615384615
Jacob Lenhart,University of Pittsburgh,14,-1,,,0,,,,,0,3,0,0
Jonathan Lierley,University of Pittsburgh,15,4.29,,,0,,,13,3,2,3,15,2.5
Zachary Lierley,University of Pittsburgh,17,1.53,22,3,7.333333333,14,3,21,3,32,3,89,7.416666667
Andrew McCarthy,University of Pittsburgh,16,11.39,,,0,5,3,,,0,3,5,0.833333333
Luke Nosbisch,University of Pittsburgh,15,3.36,,,0,,,15,3,14,3,29,4.833333333
Joseph Notarianni,University of Pittsburgh,15,13.9,,,0,,,,,5,5,5,1
Connor O'Prey,University of Pittsburgh,16,-1,,,0,0,3,9,3,,,9,1.5
Mackenzie Rice,University of Pittsburgh,16,3.26,,,0,15,4,0,3,6,5,21,1.75
Alexander Rodenkirk,University of Pittsburgh,15,19.42,,,0,,,7,3,,,7,2.333333333
Scott Simmer,University of Pittsburgh,17,3.84,11,3,3.666666667,0,3,0,3,6,3,17,1.416666667
Nathan Smith,University of Pittsburgh,14,4.94,,,0,,,,,,,0,0
Aaron Snyder,University of Pittsburgh,15,-1,,,0,,,28,2,,,28,14
David Sweeney,University of Pittsburgh,16,4.87,,,0,24,3,17,3,0,3,41,4.555555556
Matthew Tankle,University of Pittsburgh,16,16.4,,,0,2,3,,,0,3,2,0.333333333
Jacob Tovey,University of Pittsburgh,17,10.87,,,0,,,0,3,0,2,0,0
Martin Vogel,University of Pittsburgh,16,100,,,0,13,3,17,3,4,3,34,3.777777778
Avery Warrington,University of Pittsburgh,16,3.93,,,0,8,3,7,3,,,15,2.5
Seth Wenner,University of Pittsburgh,14,-1,,,0,,,,,,,0,0
Austin Doss,University of Pittsburgh,18,4.28,,,0,,,,,,,0,0
Thomas Jones,University of Pittsburgh,18,13.1,,,0,,,,,,,0,0
Bryce Kampfe,University of Pittsburgh,16,51.94,,,0,,,,,,,0,0
Dillon Lancenese,University of Pittsburgh,15,11.91,,,0,,,,,,,0,0
Tyler Matheny,University of Pittsburgh,15,100,,,0,,,,,,,0,0
Sean Rhinehart,University of Pittsburgh,15,18.93,,,0,,,,,1,3,1,0.333333333
Brendan Barry,University of Pittsburgh,19,19.33,0,3,0,,,,,,,0,0
Noah Crawford,University of Pittsburgh,19,31.75,,,0,,,,,,,0,0
Nathan Crikelair,University of Pittsburgh,19,-1,,,0,,,,,,,0,0
Zachary Grimaldi,University of Pittsburgh,19,20.44,,,0,,,,,,,0,0
Brian Lovasik,University of Pittsburgh,19,14,6,3,2,18,3,5,4,17,3,46,3.538461538
Andrei Mihailescu,University of Pittsburgh,19,5.89,,,0,,,,,,,0,0
Michael Pichette,University of Pittsburgh,19,12.35,0,3,0,,,,,,,0,0
Aaron Sett,University of Pittsburgh,19,11.6,10,3,3.333333333,42,3,0,3,3,3,55,4.583333333
NICK STACHEL,University of Pittsburgh,19,25.84,9,3,3,4,3,,,,,13,2.166666667
Julian Zedeker,University of Pittsburgh,19,100,,,0,,,,,,,0,0
Walker Brooks,University of Pittsburgh,20,12.2,,,0,,,,,,,0,0
Thomas Cestare,University of Pittsburgh,20,14.68,0,3,0,,,,,,,0,0
Joseph Ference,University of Pittsburgh,20,100,22,3,7.333333333,,,,,,,22,7.333333333
Samy Helmbacher,University of Pittsburgh,20,100,7,3,2.333333333,35,4,67,4,64,3,173,12.35714286
Samuel Jenkins,University of Pittsburgh,20,86.95,,,0,,,,,,,0,0
Boris Kulizhnikov,University of Pittsburgh,18,-1,,,0,,,3,3,9,2,12,2.4
Henrique Machado,University of Pittsburgh,17,100,,,0,,,,,28,4,28,7
Matthew McCool,University of Pittsburgh,20,-1,,,0,,,,,,,0,0
BRIAN RAMSEY,University of Pittsburgh,20,6.24,7,3,2.333333333,30,3,,,,,37,6.166666667
Jonathan Robbins,University of Pittsburgh,20,19.54,,,0,,,,,,,0,0
Luke Smutny,University of Pittsburgh,20,7.75,10,3,3.333333333,17,3,7,4,15,4,49,3.5
Eben Vorster,University of Pittsburgh,20,3.16,24,3,8,11,3,47,3,41,4,123,9.461538462
Ellis Cannon,University of Pittsburgh,21,18.35,0,3,0,0,3,0,3,,,0,0
NATHAN ELZER,University of Pittsburgh,21,18.35,,,0,0,3,,,,,0,0
John Fauteux,University of Pittsburgh,19,37.11,,,0,,,0,3,20,3,20,3.333333333
Judd Fishman,University of Pittsburgh,21,25.68,,,0,0,3,0,3,,,0,0
Kevin Kondrit,University of Pittsburgh,21,14.5,,,0,,,,,,,0,0
Cody Lenart,University of Pittsburgh,21,21.01,,,0,,,,,,,0,0
Noah Marble,University of Pittsburgh,21,100,14,3,4.666666667,,,,,,,14,4.666666667
Artur Polyak,University of Pittsburgh,21,-1,,,0,,,,,,,0,0
Ármin Reményi,University of Pittsburgh,21,12.49,,,0,,,,,,,0,0
ZACK RULLI,University of Pittsburgh,21,13.16,,,0,,,,,,,0,0
Ryan Schonbachler,University of Pittsburgh,21,8.37,0,3,0,1,3,2,3,,,3,0.333333333
Bence SZUCSIK,University of Pittsburgh,21,16.54,9,4,2.25,0,3,,,,,9,1.285714286
Blaise Vera,University of Pittsburgh,21,2.61,,,0,75,3,68,3,,,143,23.83333333
Jason Young,University of Pittsburgh,21,10.99,0,3,0,11,3,,,,,11,1.833333333
Serhii Ahadzhanian,University of Pittsburgh,22,-1,0,3,0,2,3,,,,,2,0.333333333
Wesley Ahart,University of Pittsburgh,22,100,0,3,0,1,3,,,,,1,0.166666667
Hoch Alec,University of Pittsburgh,22,15.45,,,0,,,,,,,0,0
Jacob Bowery,University of Pittsburgh,22,27.61,,,0,,,,,,,0,0
Gabriel Cardenes,University of Pittsburgh,21,8.99,,,0,,,,,,,0,0
Jeb Darhower,University of Pittsburgh,22,17.97,,,0,,,,,,,0,0
Nick Garberina,University of Pittsburgh,22,100,,,0,,,,,,,0,0
Luay Hilmi,University of Pittsburgh,22,18.32,0,3,0,0,2,,,,,0,0
Alec Hoch,University of Pittsburgh,21,15.45,,,0,0,3,0,2,,,0,0
Joshua Parquet,University of Pittsburgh,22,100,0,3,0,,,,,,,0,0
Quinton Pierce,University of Pittsburgh,22,6.52,,,0,,,,,,,0,0
Daniel RETANA,University of Pittsburgh,22,21.95,,,0,,,,,,,0,0
Anton Tamkovitch,University of Pittsburgh,22,19.87,,,0,,,,,,,0,0
Lucas Carchiaro,University of Pittsburgh,20,-1,,,0,,,,,,,0,0
Lucas Cerchiaro,University of Pittsburgh,20,-1,,,0,,,,,,,0,0
Jerry Chen,University of Pittsburgh,23,21.02,14,3,4.666666667,,,,,,,14,4.666666667
Wojciech Dutkowiak,University of Pittsburgh,23,1.8,5,3,1.666666667,,,,,,,5,1.666666667
Stephen Hopta,University of Pittsburgh,22,15.56,,,0,0,3,,,,,0,0
Jered Moore,University of Pittsburgh,23,22.97,0,3,0,,,,,,,0,0
Szymon Pytkarczyk,University of Pittsburgh,23,100,,,0,,,,,,,0,0
Szymon Pytlarczyk,University of Pittsburgh,23,9.95,0,3,0,,,,,,,0,0
